ImageName,Q1 Score,Q2 Score,Q3 Score,Q4 Score,Q5 Score,Q6 Score
GG-TJ (19).jpg,59,52,54,25,30,31
GG-TJ (190).jpg,73,65,57.393482,27,21,20
GG-TJ (191).jpg,72,60,51,31,34,27
GG-TJ (192).jpg,57.694805,49.764885,50,30.334318,30.679283,28
GG-TJ (193).jpg,57,52,56,30,32,31
GG-TJ (194).jpg,70,65,52,25,23.399231,21
GG-TJ (195).jpg,65.50123,56,59,28,39.412704,37
GG-TJ (196).jpg,61,55,58,28,40,27
GG-TJ (197).jpg,63,58,52.00437,29,18,28.970695
GG-TJ (198).jpg,76.80344,70,59,35,17,26.226387
GG-TJ (199).jpg,62.478798,65,58,32.353767,22,27
GG-TJ (2).jpg,65,63,50,30,17,23.94522
GG-TJ (20).jpg,74.23505,64,58,30,17,34
GG-TJ (200).jpg,69,61,53,32,21,31
GG-TJ (201).jpg,71,64,53,21,21,30
GG-TJ (202).jpg,71.91509,69,51,38,28,17
GG-TJ (21).jpg,69,52,54,25,30,31
GG-TJ (22).jpg,73,65,57.393482,27,21,20
GG-TJ (23).jpg,72,60,63,31,34,27
GG-TJ (24).jpg,75,79,63,30.334318,30.679283,28
GG-TJ (25).jpg,77,72,65,30,32,31
GG-TJ (26).jpg,70,65,62,25,23.399231,21
GG-TJ (27).jpg,65.50123,56,59,28,39.412704,37
GG-TJ (28).jpg,71,65,58,28,40,27
GG-TJ (29).jpg,73,68,52.00437,29,18,28.970695
GG-TJ (3).jpg,76.80344,70,69,35,17,26.226387
GG-TJ (30).jpg,69,65,73,35,26,19
GG-TJ (31).jpg,69,65,69,20,15.042688,23.812687
GG-TJ (32).jpg,69,65,75,29,28,22.580711
GG-TJ (322).jpg,78,69,72,27,32.74081,30.428627
GG-TJ (323).jpg,83.09247,64,71,28.919304,30.448612,23.437496
GG-TJ (324).jpg,69,62,62,28,32.666416,21.412886
GG-TJ (325).jpg,65,62,63,15.550976,23,28
GG-TJ (326).jpg,69,60,63,24,21,19.219368
GG-TJ (327).jpg,90.01651,87,91,30,34.2138,21
GG-TJ (328).jpg,72.843506,70,81.62626,24.562746,15,33.95295
GG-TJ (329).jpg,77.17354,70,63,20,27.165052,30.523262
GG-TJ (33).jpg,75.34249,70.36061,62,30,25.372402,19
GG-TJ (330).jpg,54,51.780617,53.115116,22.673473,20,16.576157
GG-TJ (331).jpg,52.047222,55.173363,54,17,19,20
GG-TJ (332).jpg,54.35102,52,59.068825,29.142153,20.864468,26.731754
GG-TJ (333).jpg,69.29094,63,59,47.16622,30,33.530468
GG-TJ (334).jpg,77.7252,70,64,30,17,24.063335
GG-TJ (335).jpg,75,70,63,31,21,32.97338
GG-TJ (336).jpg,75,70,65,20,17.067753,24
GG-TJ (337).jpg,61,60,62,15,17,17
GG-TJ (338).jpg,64,60,62,25.981863,18,17.940863
GG-TJ (339).jpg,71.528336,73,61,26,15,16.025406
GG-TJ (34).jpg,52.81449,51,62,27,25,21
GG-TJ (340).jpg,77.539276,72,61,38,25,16.945787
GG-TJ (341).jpg,73.37787,71,43,31,24,27.314293
GG-TJ (342).jpg,85,81,79,23,22.24939,21
GG-TJ (343).jpg,89.51698,83,83,21,29,30
GG-TJ (344).jpg,61.76847,60,63,25,28,27
GG-TJ (345).jpg,78,60,67.31849,21,28,16.002459
GG-TJ (346).jpg,84.785645,80.53003,71,25,26,21.991287
GG-TJ (347).jpg,55.341778,54,59,31,19.360645,24
GG-TJ (348).jpg,68.79395,72.187195,68,27,26.885101,30.859241
GG-TJ (349).jpg,80.37972,78,82,28,29,31.790916
GG-TJ (38).jpg,59,53,63.334484,24,16.685272,33.17857
GG-TJ (4).jpg,62.713318,51,64,31,21,19.84755
GG-TJ (48).jpg,84,78,82,30,34,18
GG-TJ (49).jpg,90.01651,87,91,30,34.2138,21
GG-TJ (5).jpg,72.843506,70,81.62626,24.562746,15,33.95295
GG-TJ (50).jpg,77.17354,70,63,20,27.165052,30.523262
GG-TJ (51).jpg,75.34249,70.36061,62,30,25.372402,19
GG-TJ (58).jpg,54,51.780617,53.115116,22.673473,20,16.576157
GG-TJ (59).jpg,52.047222,55.173363,54,17,19,20
GG-TJ (6).jpg,54.35102,52,59.068825,29.142153,20.864468,26.731754
GG-TJ (60).jpg,69.29094,63,59,47.16622,30,33.530468
GG-TJ (61).jpg,77.7252,70,64,30,17,24.063335
GG-TJ (62).jpg,75,70,63,31,21,32.97338
GG-TJ (63).jpg,65,65,53,40,41,30
GG-TJ (65).jpg,58.285896,56,56,31,40,32
GG-TJ (66).jpg,53.38611,50,63,48.79253,17.700901,31
GG-TJ (67).jpg,54.266666,57,50,21.450413,42,11.847109
GG-TJ (68).jpg,49.467575,47,43,20,25.237432,26.318314
GG-TJ (69).jpg,66.52203,50,52,40,40,16.559399
GG-TJ (7).jpg,59.7593,50,58,15.754137,40,38.07651
GG-TJ (70).jpg,52.42008,70,51,40.52125,22.836946,20
GG-TJ (72).jpg,66.61165,53,54,14.562395,19,16
GG-TJ (73).jpg,61.38568,50,53,15,40,24.132484
GG-TJ (74).jpg,56.52471,53,56,15.851591,30.861809,30.684525
GG-TJ (75).jpg,49.810673,42.2346,49,16,37,19.540209
GG-TJ (76).jpg,53.52915,50,52,40,20.271576,31
GG-TJ (77).jpg,57.183617,47,47,59,31,36
GG-TJ (78).jpg,54.809532,43,41,38.254745,16,19
GG-TJ (8).jpg,65.366196,50,55,35.558544,38.49607,16.468311
GG-TJ (83).jpg,68.38282,50,52,39,21.878548,21
GG-TJ (9).jpg,54.545193,53,50,52,31.52511,19.735973
GG-TJ (92).jpg,72.78984,80,70.44145,18,19.423304,19
GG-TJ (93).jpg,70.95503,80,85,17,21.011858,20
GG-TJ (94).jpg,68.43037,53.246906,49.33269,37,16,31.706657
GG-WH (100).jpg,86,80,79,30,21,15
GG-WH (101).jpg,67.7983,65,70,38.306892,18,30.698185
GG-WH (1020).jpg,58.66608,50,51,41,39,27.29103
GG-WH (1027).jpg,80,78,59.985065,50,38,32
GG-WH (1034).jpg,66.18407,60,52,40,21,30.468842
GG-WH (1041).jpg,65,56,61,40,36,15.604998
GG-WH (1048).jpg,75,67,79,18,19,14.809223
GG-WH (1055).jpg,76,80,82,27,26.289888,17
GG-WH (1062).jpg,56,50,61,40,28.371204,24
GG-WH (1065).jpg,52.21083,50,59,15.078245,22,16
GG-WH (1066).jpg,52.51699,50,56,25.521421,16.60894,22
GG-WH (1067).jpg,50.012333,52,56,36,30,36
GG-WH (1068).jpg,61.67466,60,61,39,34,29
GG-WH (1069).jpg,69.98885,60,60,46.51278,19,18
GG-WH (1070).jpg,65,70,63,22,19,20.518288
GG-WH (1071).jpg,48.551613,40,42,37.851925,49,48
GG-WH (1072).jpg,57.51004,56.60596,58,42.79954,45,46
GG-WH (1073).jpg,66,60,67,22,28,24.819454
GG-WH (1075).jpg,78.97914,52.72073,60,27,30,32
GG-WH (1076).jpg,65,65,53,40,41,30
GG-WH (1077).jpg,58.285896,56,56,31,40,32
GG-WH (1078).jpg,53.38611,50,63,48.79253,17.700901,31
GG-WH (1079).jpg,54.266666,57,50,21.450413,42,11.847109
GG-WH (1080).jpg,49.467575,47,43,20,25.237432,26.318314
GG-WH (1081).jpg,66.52203,50,52,40,40,16.559399
GG-WH (1086).jpg,59.7593,50,58,15.754137,40,38.07651
GG-WH (1087).jpg,52.42008,70,51,40.52125,22.836946,20
GG-WH (1093).jpg,66.61165,53,54,14.562395,19,16
GG-WH (1094).jpg,61.38568,50,53,15,40,24.132484
GG-WH (117).jpg,56.52471,53,56,15.851591,30.861809,30.684525
GG-WH (118).jpg,49.810673,42.2346,49,16,37,19.540209
GG-WH (119).jpg,53.52915,50,52,40,20.271576,31
GG-WH (120).jpg,57.183617,47,47,59,31,36
GG-WH (1269).jpg,54.809532,43,41,38.254745,16,19
GG-WH (1270).jpg,65.366196,50,55,35.558544,38.49607,16.468311
GG-WH (1271).jpg,68.38282,50,52,39,21.878548,21
GG-WH (1272).jpg,54.545193,53,50,52,31.52511,19.735973
GG-WH (1273).jpg,72.78984,80,70.44145,18,19.423304,19
GG-WH (1276).jpg,70.95503,80,85,17,21.011858,20
GG-WH (1277).jpg,68.43037,53.246906,49.33269,37,16,31.706657
GG-WH (1278).jpg,86,80,79,30,21,15
GG-WH (1279).jpg,67.7983,65,70,38.306892,18,30.698185
GG-WH (1280).jpg,58.66608,50,51,41,39,27.29103
GG-WH (129).jpg,80,78,59.985065,50,38,32
GG-WH (13).jpg,66.18407,60,52,40,21,30.468842
GG-WH (130).jpg,65,56,61,40,36,15.604998
GG-WH (136).jpg,75,67,79,18,19,14.809223
GG-WH (1392).jpg,76,80,82,27,26.289888,17
GG-WH (1393).jpg,52.707016,50,53,37,26.1702,18.26783
GG-WH (1394).jpg,52.716534,50,59.56295,23.31845,28.324663,18
GG-WH (1395).jpg,49.29267,43.54608,46,17,20.522625,15
GG-WH (1396).jpg,45.92417,40,47,55.321854,50,56
GG-WH (1397).jpg,57.8302,58.596863,52,44.38459,58,51
GG-WH (14).jpg,54.42485,52,53,47,46,41
GG-WH (1407).jpg,57,53,56,35.92128,42.981457,41
GG-WH (1408).jpg,50.37568,50,51,41,29.50013,30
GG-WH (1414).jpg,50.855698,50,59,23,22.647865,18
GG-WH (1415).jpg,54.400383,52,58,44.811096,26.738768,21.343872
GG-WH (146).jpg,65,65,53,40,41,30
GG-WH (147).jpg,58.285896,56,56,31,40,32
GG-WH (148).jpg,53.38611,50,63,48.79253,17.700901,31
GG-WH (149).jpg,54.266666,57,50,21.450413,42,11.847109
GG-WH (159).jpg,49.467575,47,43,20,25.237432,26.318314
GG-WH (164).jpg,66.52203,50,52,40,40,16.559399
GG-WH (165).jpg,59.7593,50,58,15.754137,40,38.07651
GG-WH (175).jpg,52.42008,70,51,40.52125,22.836946,20
GG-WH (176).jpg,66.61165,53,54,14.562395,19,16
GG-WH (177).jpg,61.38568,50,53,15,40,24.132484
GG-WH (182).jpg,56.52471,53,56,15.851591,30.861809,30.684525
GG-WH (191).jpg,49.810673,42.2346,49,16,37,19.540209
GG-WH (192).jpg,53.52915,50,52,40,20.271576,31
GG-WH (193).jpg,57.183617,47,47,59,31,36
GG-WH (2085).jpg,54.809532,43,41,38.254745,16,19
GG-WH (2092).jpg,65.366196,50,55,35.558544,38.49607,16.468311
GG-WH (2099).jpg,68.38282,50,52,39,21.878548,21
GG-WH (2148).jpg,54.545193,53,50,52,31.52511,19.735973
GG-WH (2149).jpg,72.78984,80,70.44145,18,19.423304,19
GG-WH (24).jpg,70.95503,80,85,17,21.011858,20
GG-WH (25).jpg,68.43037,53.246906,49.33269,37,16,31.706657
GG-WH (26).jpg,86,80,79,30,21,15
GG-WH (296).jpg,67.7983,65,70,38.306892,18,30.698185
GG-WH (297).jpg,58.66608,50,51,41,39,27.29103
GG-WH (3).jpg,80,78,59.985065,50,38,32
GG-WH (303).jpg,66.18407,60,52,40,21,30.468842
GG-WH (304).jpg,65,56,61,40,36,15.604998
GG-WH (31).jpg,75,67,79,18,19,14.809223
GG-WH (4).jpg,76,80,82,27,26.289888,17
GG-WH (40).jpg,68,61,60,13.598988,25,21
GG-WH (41).jpg,75.54111,70,74,30,21,20.364067
GG-WH (42).jpg,63.13347,60,62,21,26,19
GG-WH (4586).jpg,87,85,90,15,16,18
GG-WH (4587).jpg,90,86,89,21.9435,25,22.383278
GG-WH (4588).jpg,59,55,50,40,39,35
GG-WH (4589).jpg,67,62,64,25,23.873497,16.748219
GG-WH (4590).jpg,77.92572,65,70,27,28.892334,31.189045
GG-WH (4591).jpg,69,64,70,15,20,18.31697
GG-WH (4592).jpg,59,60,60,27,20,24
GG-WH (5).jpg,56.54886,54.93818,52,32,31.805841,38
GG-WH (53).jpg,50.934517,57,52,19,23,15
GG-WH (54).jpg,54,57,60,18,27.436743,21
GG-WH (59).jpg,58.979095,53.985096,53,24,34.233273,19.821304
GG-WH (6).jpg,53.34809,51.75594,60,17.678564,15.253238,14
GG-WH (60).jpg,65,59,63,16,20,25
GG-WH (7).jpg,64.0139,60,62,18,19.488092,27.84571
GG-WH (70).jpg,63,60,65,28.069181,26,18.880947
GG-WH (71).jpg,68,53,654,26.366858,20,18.77139
GG-WH (72).jpg,61.76346,60,64,20,24.529346,28.673939
GG-WH (8).jpg,62.32312,63,63,21,25,19
GG-WH (808).jpg,58,53,51,22,28,30
GG-WH (809).jpg,75,70,63,30,26,15
GG-WH (816).jpg,74.63894,70,62,28,17,18
GG-WH (817).jpg,65.11549,63.06982,63,21,30,21
GG-WH (82).jpg,88.06105,79.9518,,30,25,23
GG-WH (87).jpg,57.57171,52.281437,58,36,39.33506,30
GG-WH (89).jpg,58,56,54,38.090363,34,34.826096
GG-WH (90).jpg,56,53,58,17,20,17.013119
GG-WH (99).jpg,56,57,53,18,20,19
GG-XM (10).jpg,62.70208,52,61,18.871244,19,17
GG-XM (103).jpg,72.32497,60,51.21911,26,22.141253,16.864347
GG-XM (108).jpg,75.22804,60,53,30,23.043839,29
GG-XM (109).jpg,55.88293,53,52,16,20,21
GG-XM (119).jpg,59.532516,56,59,34,30,31
GG-XM (120).jpg,55.83895,50,62,20,27.720238,19
GG-XM (121).jpg,57.499504,54,56,15,20,23.606087
GG-XM (126).jpg,51.68138,53.611515,57,18,20,23
GG-XM (135).jpg,59.20806,53,54,15,24,30
GG-XM (136).jpg,57.09402,52,53,34,29,19.00674
GG-XM (137).jpg,77.444626,60,54,30,31,28
GG-XM (1415).jpg,74.656166,51,60,,17.282768,15.726715
GG-XM (1416).jpg,62.992226,63,60,16,20,22.320581
GG-XM (1417).jpg,68.52035,50,58,20,19,15.829176
GG-XM (1418).jpg,75.1082,60,73,30,18,24.860016
GG-XM (1419).jpg,62.330177,60,53.062172,26,20,34
GG-XM (1420).jpg,60.460342,58,51,18,26,36
GG-XM (1421).jpg,51,50,52,24,30,32.113926
GG-XM (1422).jpg,59,52,52,24.911121,17,16
GG-XM (1423).jpg,53.697823,54,58,16,22.60986,17
GG-XM (1424).jpg,53.204216,50,58,36,29,35
GG-XM (1425).jpg,61.355797,54,59,38,34,25
GG-XM (1426).jpg,59.724007,57,54,15.438888,36,25.891241
GG-XM (1427).jpg,55.701424,50,52,24,30,22.795109
GG-XM (1428).jpg,51,50,53,30,24,18.32404
GG-XM (1429).jpg,63.244286,60,63,30,34.55848,28.711662
GG-XM (1430).jpg,60,64,63,18,30,26.546665
GG-XM (1431).jpg,54,59,58,15,17,22.399845
GG-XM (1432).jpg,52.40899,51,56,16,19,17
GG-XM (1433).jpg,62.44879,60,55,25,27,20
GG-XM (1434).jpg,80,71.04573,85,19,17,16
GG-XM (1435).jpg,74.28571,50.195164,51,31.264072,21,35.42364
GG-XM (147).jpg,57.950535,50,51,30.960045,30.917858,16.750109
GG-XM (148).jpg,59,51,51.18082,17,32.697285,23.035847
GG-XM (153).jpg,66.70216,66.555405,53,17.50553,15,15.626459
GG-XM (154).jpg,53.79444,50,53,33.82003,17,18
GG-XM (163).jpg,50.51928,52,58,15,30,20
GG-XM (164).jpg,54.545193,53,50,52,31.52511,19.735973
GG-XM (165).jpg,72.78984,80,70.44145,18,19.423304,19
GG-XM (175).jpg,70.95503,80,85,17,21.011858,20
GG-XM (180).jpg,68.43037,53.246906,49.33269,37,16,31.706657
GG-XM (181).jpg,86,80,79,30,21,15
GG-XM (182).jpg,67.7983,65,70,38.306892,18,30.698185
GG-XM (19).jpg,58.66608,50,51,41,39,27.29103
GG-XM (191).jpg,80,78,59.985065,50,38,32
GG-XM (192).jpg,66.18407,60,52,40,21,30.468842
GG-XM (193).jpg,65,56,61,40,36,15.604998
GG-XM (20).jpg,75,67,79,18,19,14.809223
GG-XM (21).jpg,76,80,82,27,26.289888,17
GG-XM (2164).jpg,52.707016,50,53,37,26.1702,18.26783
GG-XM (2165).jpg,52.716534,50,59.56295,23.31845,28.324663,18
GG-XM (2166).jpg,49.29267,43.54608,46,17,20.522625,15
GG-XM (2167).jpg,45.92417,40,47,55.321854,50,56
GG-XM (2168).jpg,57.8302,58.596863,52,44.38459,58,51
GG-XM (2169).jpg,54.42485,52,53,47,46,41
GG-XM (2170).jpg,57,53,56,35.92128,42.981457,41
GG-XM (3).jpg,50.37568,50,51,41,29.50013,30
GG-XM (31).jpg,50.855698,50,59,23,22.647865,18
GG-XM (3453).jpg,54.400383,52,58,44.811096,26.738768,21.343872
GG-XM (3454).jpg,65,65,53,40,41,30
GG-XM (3455).jpg,58.285896,56,56,31,40,32
GG-XM (3456).jpg,53.38611,50,63,48.79253,17.700901,31
GG-XM (3457).jpg,54.266666,57,50,21.450413,42,11.847109
GG-XM (3458).jpg,49.467575,47,43,20,25.237432,26.318314
GG-XM (3459).jpg,66.52203,50,52,40,40,16.559399
GG-XM (3460).jpg,59.7593,50,58,15.754137,40,38.07651
GG-XM (36).jpg,52.42008,70,51,40.52125,22.836946,20
GG-XM (37).jpg,66.61165,53,54,14.562395,19,16
GG-XM (38).jpg,61.38568,50,53,15,40,24.132484
GG-XM (4).jpg,56.52471,53,56,15.851591,30.861809,30.684525
GG-XM (47).jpg,49.810673,42.2346,49,16,37,19.540209
GG-XM (48).jpg,53.52915,50,52,40,20.271576,31
GG-XM (49).jpg,57.183617,47,47,59,31,36
GG-XM (63).jpg,54.809532,43,41,38.254745,16,19
GG-XM (64).jpg,65.366196,50,55,35.558544,38.49607,16.468311
GG-XM (65).jpg,68.38282,50,52,39,21.878548,21
GG-XM (66).jpg,54.545193,53,50,52,31.52511,19.735973
GG-XM (75).jpg,72.78984,80,70.44145,18,19.423304,19
GG-XM (76).jpg,70.95503,80,85,17,21.011858,20
GG-XM (81).jpg,68.43037,53.246906,49.33269,37,16,31.706657
GG-XM (9).jpg,86,80,79,30,21,15
GG-XM (91).jpg,67.7983,65,70,38.306892,18,30.698185
GG-XM (92).jpg,58.66608,50,51,41,39,27.29103
GG-XM (93).jpg,80,78,59.985065,50,38,32
GG-XM (94).jpg,66.18407,60,52,40,21,30.468842
MT-BH (102).jpg,65,56,61,40,36,15.604998
MT-BH (103).jpg,75,67,79,18,19,14.809223
MT-BH (104).jpg,76,80,82,27,26.289888,17
MT-BH (107).jpg,68,61,60,13.598988,25,21
MT-BH (11).jpg,75.54111,70,74,30,21,20.364067
MT-BH (112).jpg,63.13347,60,62,21,26,19
MT-BH (113).jpg,87,85,90,15,16,18
MT-BH (115).jpg,90,86,89,21.9435,25,22.383278
MT-BH (12).jpg,59,55,50,40,39,35
MT-BH (127).jpg,67,62,64,25,23.873497,16.748219
MT-BH (128).jpg,77.92572,65,70,27,28.892334,31.189045
MT-BH (131).jpg,69,64,70,15,20,18.31697
MT-BH (132).jpg,59,60,60,27,20,24
MT-BH (133).jpg,56.54886,54.93818,52,32,31.805841,38
MT-BH (134).jpg,50.934517,57,52,19,23,15
MT-BH (135).jpg,54,57,60,18,27.436743,21
MT-BH (136).jpg,58.979095,53.985096,53,24,34.233273,19.821304
MT-BH (137).jpg,53.34809,51.75594,60,17.678564,15.253238,14
MT-BH (139).jpg,65,59,63,16,20,25
MT-BH (140).jpg,64.0139,60,62,18,19.488092,27.84571
MT-BH (141).jpg,63,60,65,28.069181,26,18.880947
MT-BH (142).jpg,68,53,654,26.366858,20,18.77139
MT-BH (143).jpg,61.76346,60,64,20,24.529346,28.673939
MT-BH (144).jpg,62.32312,63,63,21,25,19
MT-BH (145).jpg,58,53,51,22,28,30
MT-BH (146).jpg,75,70,63,30,26,15
MT-BH (149).jpg,74.63894,70,62,28,17,18
MT-BH (150).jpg,65.11549,63.06982,63,21,30,21
MT-BH (151).jpg,88.06105,79.9518,,30,25,23
MT-BH (152).jpg,57.57171,52.281437,58,36,39.33506,30
MT-BH (153).jpg,58,56,54,38.090363,34,34.826096
MT-BH (155).jpg,56,53,58,17,20,17.013119
MT-BH (156).jpg,56,57,53,18,20,19
MT-BH (157).jpg,62.70208,52,61,18.871244,19,17
MT-BH (158).jpg,72.32497,60,51.21911,26,22.141253,16.864347
MT-BH (159).jpg,75.22804,60,53,30,23.043839,29
MT-BH (160).jpg,55.88293,53,52,16,20,21
MT-BH (161).jpg,59.532516,56,59,34,30,31
MT-BH (162).jpg,55.83895,50,62,20,27.720238,19
MT-BH (163).jpg,57.499504,54,56,15,20,23.606087
MT-BH (164).jpg,51.68138,53.611515,57,18,20,23
MT-BH (165).jpg,59.20806,53,54,15,24,30
MT-BH (166).jpg,57.09402,52,53,34,29,19.00674
MT-BH (167).jpg,77.444626,60,54,30,31,28
MT-BH (168).jpg,74.656166,51,60,,17.282768,15.726715
MT-BH (169).jpg,62.992226,63,60,16,20,22.320581
MT-BH (170).jpg,68.52035,50,58,20,19,15.829176
MT-BH (171).jpg,75.1082,60,73,30,18,24.860016
MT-BH (172).jpg,62.330177,60,53.062172,26,20,34
MT-BH (176).jpg,60.460342,58,51,18,26,36
MT-BH (179).jpg,51,50,52,24,30,32.113926
MT-BH (18).jpg,59,52,52,24.911121,17,16
MT-BH (180).jpg,53.697823,54,58,16,22.60986,17
MT-BH (181).jpg,53.204216,50,58,36,29,35
MT-BH (186).jpg,61.355797,54,59,38,34,25
MT-BH (187).jpg,59.724007,57,54,15.438888,36,25.891241
MT-BH (188).jpg,55.701424,50,52,24,30,22.795109
MT-BH (19).jpg,51,50,53,30,24,18.32404
MT-BH (196).jpg,63.244286,60,63,30,34.55848,28.711662
MT-BH (197).jpg,60,64,63,18,30,26.546665
MT-BH (20).jpg,54,59,58,15,17,22.399845
MT-BH (204).jpg,52.40899,51,56,16,19,17
MT-BH (205).jpg,62.44879,60,55,25,27,20
MT-BH (211).jpg,80,71.04573,85,19,17,16
MT-BH (212).jpg,74.28571,50.195164,51,31.264072,21,35.42364
MT-BH (213).jpg,57.950535,50,51,30.960045,30.917858,16.750109
MT-BH (218).jpg,59,51,51.18082,17,32.697285,23.035847
MT-BH (219).jpg,66.70216,66.555405,53,17.50553,15,15.626459
MT-BH (220).jpg,53.79444,50,53,33.82003,17,18
MT-BH (241).jpg,50.51928,52,58,15,30,20
MT-BH (248).jpg,60.219955,90.25051,31.921528,54.676872,25.485586,19
MT-BH (255).jpg,52.235214,41,53,28.262075,17.861677,23
MT-BH (28).jpg,70,68,63,28,19,20.402428
MT-BH (29).jpg,92.708115,88,67.7913,23,15,18.03778
MT-BH (30).jpg,75.63228,63,69,19,23.788977,16
MT-BH (31).jpg,60.790268,54,67,18,23,21
MT-BH (41).jpg,67.20018,61,67,28,18,23.421482
MT-BH (42).jpg,72.344734,64,66,20,28,36.52773
MT-BH (43).jpg,71.72651,68,65,17,24,17
MT-BH (55).jpg,85,81,74.12244,20,15.557508,25
MT-BH (56).jpg,60.257706,58.47748,68,17,25,17.018633
MT-BH (59).jpg,65.41687,52.99992,59,23,20,21
MT-BH (60).jpg,29,25,26,20,27,23.854546
MT-BH (65).jpg,83.010025,80.150375,65,24,24,30.904392
MT-BH (66).jpg,80,65.870094,74,26,38.379925,20.911383
MT-BH (67).jpg,56.775272,53.491344,63,26,19,17.025831
MT-BH (7).jpg,65.6001,60,64,23,21,28.269928
MT-BH (75).jpg,58.5457,60.54125,64,33.531322,26,21.950975
MT-BH (76).jpg,70,65,67,23,20,19.267014
MT-BH (77).jpg,58.06946,55,54,29,25.653734,23.943142
MT-BH (8).jpg,65,64,61,24,31.73885,18.60926
MT-BH (84).jpg,63,53,57.650482,30,33.86431,20.889622
MT-BH (92).jpg,50.32937,57,55.013725,25,33.910507,21
MT-BH (95).jpg,65,58,58,28,22.346615,17
MT-BH (96).jpg,62,54,57,29,17,21.301191
MT-DL (106).jpg,77.24845,65,57,30,21,35.06252
MT-DL (107).jpg,68,59,58,31,25,19.133688
MT-DL (108).jpg,68,57,59,25,26,19
MT-DL (109).jpg,71.20984,68,60,24,26,16.55929
MT-DL (110).jpg,64,58,72,29,25,17.583818
MT-DL (111).jpg,52.891136,51,72,25,35.978394,11.475457
MT-DL (112).jpg,61.139946,59.33172,59,25,26,25.268093
MT-DL (113).jpg,76.981926,69,63,24,28,12.204695
MT-DL (114).jpg,76.36443,72,63,30,29.761559,35.892902
MT-DL (115).jpg,62.242027,53,64,28,25.64708,22.019447
MT-DL (116).jpg,60.084793,60,63,31,24,29.66399
MT-DL (117).jpg,74.90649,63,63,26,21,17.787725
MT-DL (118).jpg,54,52,62,29,31,19.895899
MT-DL (119).jpg,57.205986,53,52,25,25.621792,15.825628
MT-DL (124).jpg,61,58,63,30,24,21.439741
MT-DL (125).jpg,52.412376,51,52,31,33,31.008923
MT-DL (126).jpg,53,52,54.08719,26,29,14.941935
MT-DL (127).jpg,64,63,58.65154,32,21,18.844582
MT-DL (128).jpg,59.037117,54,64,26,30,11.444836
MT-DL (129).jpg,74.335976,63,68,33,21,31.171696
MT-DL (130).jpg,69.60733,64,73,29,23,32.2111
MT-DL (131).jpg,58.5457,60.54125,64,33.531322,26,21.950975
MT-DL (132).jpg,70,65,67,23,20,19.267014
MT-DL (133).jpg,58.06946,55,54,29,25.653734,23.943142
MT-DL (134).jpg,65,64,61,24,31.73885,18.60926
MT-DL (135).jpg,63,53,57.650482,30,33.86431,20.889622
MT-DL (136).jpg,50.32937,57,55.013725,25,33.910507,21
MT-DL (137).jpg,65,58,58,28,22.346615,17
MT-DL (146).jpg,62,54,57,29,17,21.301191
MT-DL (149).jpg,77.24845,65,57,30,21,35.06252
MT-DL (150).jpg,68,59,58,31,25,19.133688
MT-DL (162).jpg,68,57,59,25,26,19
MT-DL (163).jpg,71.20984,68,60,24,26,16.55929
MT-DL (168).jpg,64,58,72,29,25,17.583818
MT-DL (169).jpg,52.891136,51,72,25,35.978394,11.475457
MT-DL (180).jpg,61.139946,59.33172,59,25,26,25.268093
MT-DL (181).jpg,76.981926,69,63,24,28,12.204695
MT-DL (182).jpg,76.36443,72,63,30,29.761559,35.892902
MT-DL (194).jpg,62.242027,53,64,28,25.64708,22.019447
MT-DL (20).jpg,60.084793,60,63,31,24,29.66399
MT-DL (25).jpg,74.90649,63,63,26,21,17.787725
MT-DL (26).jpg,54,52,62,29,31,19.895899
MT-DL (29).jpg,57.205986,53,52,25,25.621792,15.825628
MT-DL (38).jpg,61,58,63,30,24,21.439741
MT-DL (41).jpg,52.412376,51,52,31,33,31.008923
MT-DL (42).jpg,53,52,54.08719,26,29,14.941935
MT-DL (43).jpg,64,63,58.65154,32,21,18.844582
MT-DL (44).jpg,59.037117,54,64,26,30,11.444836
MT-DL (45).jpg,74.335976,63,68,33,21,31.171696
MT-DL (46).jpg,69.60733,64,73,29,23,32.2111
MT-DL (47).jpg,58.5457,60.54125,64,33.531322,26,21.950975
MT-DL (48).jpg,70,65,67,23,20,19.267014
MT-DL (49).jpg,58.06946,55,54,29,25.653734,23.943142
MT-DL (58).jpg,65,64,61,24,31.73885,18.60926
MT-DL (59).jpg,63,53,57.650482,30,33.86431,20.889622
MT-DL (6).jpg,50.32937,57,55.013725,25,33.910507,21
MT-DL (60).jpg,65,58,58,28,22.346615,17
MT-DL (61).jpg,62,54,57,29,17,21.301191
MT-DL (7).jpg,77.24845,65,57,30,21,35.06252
MT-DL (72).jpg,68,59,58,31,25,19.133688
MT-DL (73).jpg,68,57,59,25,26,19
MT-DL (8).jpg,71.20984,68,60,24,26,16.55929
MT-DL (80).jpg,64,58,72,29,25,17.583818
MT-DL (93).jpg,52.891136,51,72,25,35.978394,11.475457
MT-DL (94).jpg,61.139946,59.33172,59,25,26,25.268093
MT-DL (96).jpg,76.981926,69,63,24,28,12.204695
MT-DL (97).jpg,76.36443,72,63,30,29.761559,35.892902
MT-GZ (1).jpg,62.242027,53,64,28,25.64708,22.019447
MT-GZ (100).jpg,60.084793,60,63,31,24,29.66399
MT-GZ (101).jpg,74.90649,63,63,26,21,17.787725
